-273,-459872
-459872,459341
459341,1
1,-459246
-459246,-4
-4,457575
457575,2609
2609,-461014
-461014,459550
459550,-459531
-459531,-537
-537,517
517,14
14,458935
458935,-2675
-2675,-455521
-455521,455519
455519,3
3,-455521
-455521,455523
455523,-455522
-455522,455524
455524,-455523
-455523,454970
454970,1
1,517
517,-455502
-455502,455500
455500,-455502
-455502,457660
457660,1
1,-17117
-17117,2068
2068,15051
15051,-69345
-69345,-16894
-16894,788
788,16105
16105,67223
67223,-106138
-106138,1
1,-349376
-349376,104
104,455425
455425,2
2,-168102
-168102,2068
2068,59365
59365,1
1,106669
106669,-455531
-455531,289988
289988,4628
4628,165251
165251,-117145
-117145,1
1,-342721
-342721,104
104,455427
455427,1
1,-173226
-173226,4628
4628,54247
54247,1
1,-341179
-341179,104
104,455429
455429,1
1,-455535
-455535,264384
264384,3092
3092,-46103
-46103,1
1,-221350
-221350,1
1,455539
455539,1
1,-455501
-455501,193152
193152,3092
3092,90625
90625,155648
155648,-155646
-155646,-90626
-90626,2
2,246272
246272,-442517
-442517,178300
178300,-13822
-13822,3348
3348,1
1,10474
10474,280413
280413,-290885
-290885,-167862
-167862,152729
152729,-33274
-33274,3605
3605,2
2,-3
-3,29671
29671,-152714
-152714,-1339
-1339,460759
460759,-456304
-456304,382555
382555,73925
73925,-410087
-410087,304702
304702,31461
31461,-34297
-34297,2839
2839,-2
-2,-355549
-355549,456794
456794,-34452
-34452,-12522
-12522,12523
12523,34429
34429,-46949
-46949,50900
50900,-456469
-456469,328205
328205,124315
124315,-50302
-50302,-405209
-405209,408558
408558,-408446
-408446,458085
458085,-542
-542,-590
-590,11
11,-456963
-456963,289407
289407,-2
-2,-127913
-127913,297933
297933,-459396
-459396,459338
459338,-456037
-456037,322629
322629,129478
129478,-455491
-455491,76
76,2
2,-1
-1,52
52,-49
-49,455459
455459,-455470
-455470,1
1,-74
-74,-21
-21,6
6,156
156,2
2,-1
-1,-122
-122,45
45,-58
-58,156
156,2
2,-1
-1,455397
455397,-75729
-75729,-2
-2,-1
-1,79755
79755,-457700
-457700,63180
63180,33039
33039,289639
289639,1
1,14136
14136,-402679
-402679,3716
3716,456674
456674,-456809
-456809,435971
435971,16793
16793,-456325
-456325,460417
460417,-457359
-457359,457225
457225,-456419
-456419,205025
205025,247453
247453,-107248
-107248,1
1,-271951
-271951,-77153
-77153,77152
77152,-77162
-77162,439552
439552,-321667
-321667,-1
-1,91025
91025,237997
237997,1
1,-186428
-186428,-1
-1,120154
120154,66787
66787,1
1,-33341
-33341,1
1,-315179
-315179,338810
338810,-96276
-96276,1
1,-186366
-186366,1
1,154814
154814,-1
-1,70746
70746,-377954
-377954,229625
229625,228047
228047,-457535
-457535,125656
125656,186599
186599,141289
141289,-332004
-332004,336043
336043,-331924
-331924,-2
-2,327885
327885,-455542
-455542,1
1,220815
220815,1
1,-219249
-219249,184200
184200,170648
170648,10073
10073,89034
89034,-273615
-273615,277754
277754,-273891
-273891,-2
-2,-185787
-185787,150
150,154638
154638,225044
225044,75708
75708,3981
3981,-457647
-457647,206438
206438,-125169
-125169,1
1,97799
97799,161236
161236,37652
37652,48836
48836,-152513
-152513,179352
179352,-182956
-182956,69630
69630,-339756
-339756,426244
426244,-48838
-48838,79561
79561,-183234
-183234,-2
-2,179350
179350,-455532
-455532,318725
318725,-1
-1,-2
-2,-315134
-315134,123016
123016,333057
333057,-459582
-459582,459586
459586,-457740
-457740,304281
304281,-135756
-135756,289055
289055,-457228
-457228,331360
331360,126025
126025,-457546
-457546,38268
38268,339469
339469,75633
75633,4024
4024,-457296
-457296,390655
390655,-52715
-52715,1
1,-337311
-337311,377011
377011,-119802
-119802,195486
195486,-198322
-198322,202244
202244,-199405
-199405,119793
119793,-119795
-119795,195484
195484,-455534
-455534,-1
-1,105
105,379740
379740,79845
79845,-457123
-457123,436083
436083,-51906
-51906,1
1,-187110
-187110,-1
-1,-196071
-196071,362215
362215,72873
72873,-182391
-182391,108474
108474,94816
94816,-93769
-93769,-2
-2,-365696
-365696,459438
459438,-456667
-456667,292905
292905,-257411
-257411,421223
421223,-40058
-40058,1
1,-39674
-39674,11282
11282,64365
64365,4208
4208,-457127
-457127,438068
438068,-346117
-346117,3966
3966,357004
357004,-66691
-66691,-237714
-237714,120742
120742,-3860
-3860,-266030
-266030,149147
149147,228759
228759,-19206
-19206,1
1,-360471
-360471,345391
345391,-3
-3,-345571
-345571,379855
379855,79608
79608,-457439
-457439,431547
431547,-90836
-90836,90837
90837,-257243
-257243,1
1,-33214
-33214,-141475
-141475,424047
424047,-45835
-45835,-377596
-377596,73769
73769,303593
303593,-3604
-3604,-372866
-372866,333168
333168,-1
-1,43538
43538,-378020
-378020,116565
116565,341074
341074,-459349
-459349,459543
459543,-456835
-456835,184075
184075,251299
251299,-58356
-58356,1
1,79833
79833,-456336
-456336,376522
376522,-18
-18,-262104
-262104,1
1,-114873
-114873,428577
428577,28112
28112,-79716
-79716,79622
79622,-457638
-457638,447312
447312,-268621
-268621,147870
147870,1
1,-195844
-195844,-129681
-129681,247725
247725,-140299
-140299,345265
345265,-207546
-207546,211521
211521,-208938
-208938,-2
-2,204964
204964,-455538
-455538,155
155,379671
379671,79649
79649,-456507
-456507,320309
320309,3
3,34786
34786,1
1,101577
101577,-136366
-136366,-142777
-142777,199338
199338,-32742
-32742,112468
112468,-457795
-457795,270989
270989,41003
41003,79466
79466,66450
66450,-456797
-456797,372392
372392,4549
4549,79731
79731,-456505
-456505,160575
160575,2
2,229792
229792,-13596
-13596,79662
79662,-457409
-457409,126235
126235,-1
-1,-98880
-98880,419404
419404,-167027
-167027,-2580
-2580,180299
180299,-177716
-177716,-2
-2,-281816
-281816,161
161,1853
1853,10243
10243,367572
367572,79780
79780,-456990
-456990,244470
244470,57707
57707,-63517
-63517,118849
118849,16692
16692,-374186
-374186,357495
357495,19695
19695,-42969
-42969,118647
118647,-75892
-75892,80039
80039,-456062
-456062,400798
400798,-24777
-24777,56787
56787,-78832
-78832,22256
22256,-60116
-60116,135818
135818,-138910
-138910,40953
40953,-354461
-354461,10065
10065,46486
46486,320166
320166,79794
79794,-196
-196,-457285
-457285,14542
14542,223020
223020,140120
140120,79749
79749,-456058
-456058,376350
376350,-31
-31,5
5,-14
-14,-2
-2,79845
79845,-456774
-456774,96973
96973,279955
279955,79589
79589,-457080
-457080,390428
390428,1
1,-337734
-337734,404636
404636,-457473
-457473,128674
128674,-29993
